step,R,Rg,contacts
100,2.23606797749979,1.1666666666666667,0
200,3.605551275463989,1.2583057392117916,0
300,3.0,1.3437096247164249,0
400,3.605551275463989,1.3017082793177757,0
450,3.0,1.1666666666666665,1
700,2.23606797749979,1.1666666666666665,0
750,4.123105625617661,1.4240006242195884,0
850,2.23606797749979,0.9574271077563381,2
900,4.123105625617661,1.4240006242195884,0
1000,2.23606797749979,1.0671873729054748,1
1050,2.23606797749979,0.9574271077563381,2
1100,4.123105625617661,1.3844373104863459,0
1200,4.123105625617661,1.5365907428821477,0
1350,3.0,1.2133516482134197,0
1450,3.605551275463989,1.3017082793177757,0
1500,3.605551275463989,1.3844373104863459,0
1550,4.123105625617661,1.536590742882148,0
1700,4.123105625617661,1.5365907428821477,0
1750,3.605551275463989,1.3017082793177757,0
1800,3.605551275463989,1.3017082793177759,0
1850,4.123105625617661,1.3844373104863459,0
1950,4.123105625617661,1.536590742882148,0
2100,2.23606797749979,1.0671873729054748,1
2150,2.23606797749979,1.0671873729054748,1
2250,3.0,1.2133516482134197,0
2300,3.605551275463989,1.2583057392117916,0
2350,2.23606797749979,1.0671873729054748,1
2400,3.605551275463989,1.3017082793177759,0
2450,2.23606797749979,1.0671873729054748,1
2600,3.0,1.0671873729054746,1
2650,3.605551275463989,1.3844373104863459,0
2700,2.23606797749979,1.0671873729054748,1
2750,3.605551275463989,1.3844373104863459,0
2800,2.23606797749979,1.1666666666666667,0
2850,2.23606797749979,1.1666666666666667,0
3000,3.0,1.0671873729054746,1
3150,2.23606797749979,0.9574271077563381,2
3250,3.0,1.2133516482134197,0
3400,2.23606797749979,1.0671873729054746,1
3450,2.23606797749979,1.0671873729054746,1
3500,3.605551275463989,1.3844373104863459,0
3550,1.0,0.9574271077563381,2
3600,3.605551275463989,1.3017082793177757,0
3650,2.23606797749979,1.1666666666666667,0
3700,2.23606797749979,1.0137937550497034,1
3750,3.605551275463989,1.3017082793177759,0
3800,3.605551275463989,1.3017082793177759,0
3850,2.23606797749979,1.0671873729054748,1
3900,3.605551275463989,1.3017082793177759,0
3950,3.605551275463989,1.3844373104863459,0
4100,3.605551275463989,1.3017082793177759,0
4150,1.0,0.9574271077563381,2
4200,3.605551275463989,1.3844373104863459,0
4350,1.0,0.9574271077563381,2
4400,2.23606797749979,1.1666666666666667,0
